, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103855_realistic_utpSolver367.xml, Model[Modele USP], Solutions:1, Buildingtime:1,165s, Fails:1, Restarts:0, Variables:16198, Constraints:9426, Nodes:608, Backtracks:1, Resolutiontime:1,732s, Memory : 360.27 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103858_realistic_utpSolver370.xml, Model[Modele USP], Solutions:1, Buildingtime:1,368s, Fails:10, Restarts:0, Variables:22889, Constraints:13756, Nodes:812, Backtracks:10, Resolutiontime:2,651s, Memory : 274.19 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104041_realistic_utpSolver458.xml, Model[Modele USP], Solutions:1, Buildingtime:1,406s, Fails:6, Restarts:0, Variables:28376, Constraints:15809, Nodes:1123, Backtracks:6, Resolutiontime:2,786s, Memory : 570.30 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103927_realistic_utpSolver393.xml, Model[Modele USP], Solutions:1, Buildingtime:1,651s, Fails:8, Restarts:0, Variables:34642, Constraints:21636, Nodes:1121, Backtracks:8, Resolutiontime:4,054s, Memory : 712.47 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104120_realistic_utpSolver486.xml, Model[Modele USP], Solutions:1, Buildingtime:1,672s, Fails:7, Restarts:0, Variables:39595, Constraints:25427, Nodes:1179, Backtracks:7, Resolutiontime:4,911s, Memory : 633.94 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103006_realistic_utpSolver231.xml, Model[Modele USP], Solutions:1, Buildingtime:2,286s, Fails:14, Restarts:0, Variables:89664, Constraints:64064, Nodes:1929, Backtracks:14, Resolutiontime:9,289s, Memory : 930.34 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103057_realistic_utpSolver259.xml, Model[Modele USP], Solutions:1, Buildingtime:2,138s, Fails:55, Restarts:0, Variables:52609, Constraints:27606, Nodes:2341, Backtracks:55, Resolutiontime:9,809s, Memory : 868.58 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102947_realistic_utpSolver208.xml, Model[Modele USP], Solutions:1, Buildingtime:2,242s, Fails:520, Restarts:3, Variables:53216, Constraints:27330, Nodes:10203, Backtracks:8170, Resolutiontime:12,945s, Memory : 875.31 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104128_realistic_utpSolver494.xml, Model[Modele USP], Solutions:1, Buildingtime:2,169s, Fails:853, Restarts:4, Variables:48683, Constraints:25174, Nodes:11799, Backtracks:10354, Resolutiontime:13,845s, Memory : 859.37 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103810_realistic_utpSolver343.xml, Model[Modele USP], Solutions:0, Buildingtime:5,765s, Fails:3004, Restarts:6, Variables:284696, Constraints:184889, Nodes:3032, Backtracks:6036, Resolutiontime:13,286s, Memory : 1450.58 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104343_realistic_utpSolver563.xml, Model[Modele USP], Solutions:1, Buildingtime:1,121s, Fails:7, Restarts:0, Variables:12165, Constraints:6620, Nodes:523, Backtracks:7, Resolutiontime:1,580s, Memory : 190.46 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104509_realistic_utpSolver600.xml, Model[Modele USP], Solutions:1, Buildingtime:1,478s, Fails:284, Restarts:2, Variables:24622, Constraints:12671, Nodes:3591, Backtracks:2720, Resolutiontime:8,221s, Memory : 609.07 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104425_realistic_utpSolver583.xml, Model[Modele USP], Solutions:1, Buildingtime:2,093s, Fails:494, Restarts:3, Variables:51228, Constraints:25896, Nodes:10295, Backtracks:8251, Resolutiontime:13,366s, Memory : 860.48 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103317_realistic_utpSolver312.xml, Model[Modele USP], Solutions:1, Buildingtime:2,348s, Fails:289, Restarts:2, Variables:60113, Constraints:32261, Nodes:7654, Backtracks:5416, Resolutiontime:12,374s, Memory : 892.36 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104614_realistic_utpSolver615.xml, Model[Modele USP], Solutions:1, Buildingtime:1,493s, Fails:1, Restarts:0, Variables:29316, Constraints:17554, Nodes:1013, Backtracks:1, Resolutiontime:3,614s, Memory : 688.56 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104659_realistic_utpSolver631.xml, Model[Modele USP], Solutions:1, Buildingtime:1,705s, Fails:25, Restarts:0, Variables:34385, Constraints:17804, Nodes:1602, Backtracks:25, Resolutiontime:5,226s, Memory : 796.13 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104650_realistic_utpSolver626.xml, Model[Modele USP], Solutions:1, Buildingtime:1,897s, Fails:8, Restarts:0, Variables:47281, Constraints:27957, Nodes:1639, Backtracks:8, Resolutiontime:6,688s, Memory : 825.28 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104713_realistic_utpSolver633.xml, Model[Modele USP], Solutions:1, Buildingtime:1,533s, Fails:5, Restarts:0, Variables:30227, Constraints:19257, Nodes:899, Backtracks:5, Resolutiontime:3,718s, Memory : 566.31 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103027_realistic_utpSolver246.xml, Model[Modele USP], Solutions:1, Buildingtime:2,215s, Fails:38864, Restarts:13, Variables:55253, Constraints:29294, Nodes:70304, Backtracks:106666, Resolutiontime:89,970s, Memory : 874.01 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104813_realistic_utpSolver642.xml, Model[Modele USP], Solutions:1, Buildingtime:2,156s, Fails:9, Restarts:0, Variables:57473, Constraints:33707, Nodes:2002, Backtracks:9, Resolutiontime:6,163s, Memory : 847.66 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102826_realistic_utpSolver99.xml, Model[Modele USP], Solutions:0, Buildingtime:1,306s, Fails:219136, Restarts:17, Variables:23130, Constraints:13732, Nodes:232683, Backtracks:451027, Resolutiontime:600,043s, Memory : 746.20 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102841_realistic_utpSolver131.xml, Model[Modele USP], Solutions:0, Buildingtime:1,571s, Fails:492602, Restarts:19, Variables:40034, Constraints:23190, Nodes:520505, Backtracks:1011749, Resolutiontime:600,042s, Memory : 795.46 MB
, ./tmp/experiment_01-06-25/instanceUSP_generated_010625202616_realistic_utpSolver3.xml, Model[Modele USP], Solutions:0, Buildingtime:1,779s, Fails:369588, Restarts:18, Variables:52048, Constraints:29040, Nodes:404519, Backtracks:771981, Resolutiontime:600,046s, Memory : 823.02 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102836_realistic_utpSolver126.xml, Model[Modele USP], Solutions:0, Buildingtime:2,196s, Fails:464450, Restarts:19, Variables:63879, Constraints:34229, Nodes:516012, Backtracks:977810, Resolutiontime:600,110s, Memory : 918.34 MB
, ./tmp/experiment_01-06-25/instanceUSP_generated_010625202615_realistic_utpSolver7.xml, Model[Modele USP], Solutions:0, Buildingtime:2,290s, Fails:70910, Restarts:14, Variables:65416, Constraints:33321, Nodes:114785, Backtracks:182025, Resolutiontime:600,042s, Memory : 936.85 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102806_realistic_utpSolver74.xml, Model[Modele USP], Solutions:0, Buildingtime:2,489s, Fails:473839, Restarts:19, Variables:73414, Constraints:39300, Nodes:530427, Backtracks:1001398, Resolutiontime:600,050s, Memory : 957.25 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver56.xml, Model[Modele USP], Solutions:0, Buildingtime:2,253s, Fails:381343, Restarts:18, Variables:65698, Constraints:35585, Nodes:431583, Backtracks:810095, Resolutiontime:600,033s, Memory : 881.23 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102814_realistic_utpSolver84.xml, Model[Modele USP], Solutions:0, Buildingtime:2,177s, Fails:258576, Restarts:17, Variables:71354, Constraints:42252, Nodes:298847, Backtracks:555143, Resolutiontime:600,039s, Memory : 875.49 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver43.xml, Model[Modele USP], Solutions:0, Buildingtime:2,096s, Fails:170811, Restarts:16, Variables:65700, Constraints:37317, Nodes:202286, Backtracks:370745, Resolutiontime:600,036s, Memory : 882.92 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver9.xml, Model[Modele USP], Solutions:0, Buildingtime:2,801s, Fails:265005, Restarts:17, Variables:89532, Constraints:48707, Nodes:325175, Backtracks:586823, Resolutiontime:600,039s, Memory : 1009.61 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102818_realistic_utpSolver89.xml, Model[Modele USP], Solutions:0, Buildingtime:2,557s, Fails:202686, Restarts:17, Variables:96329, Constraints:52383, Nodes:263504, Backtracks:462761, Resolutiontime:600,032s, Memory : 989.59 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102830_realistic_utpSolver104.xml, Model[Modele USP], Solutions:0, Buildingtime:2,740s, Fails:675154, Restarts:20, Variables:108252, Constraints:61103, Nodes:680347, Backtracks:1355417, Resolutiontime:600,036s, Memory : 1043.70 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver8.xml, Model[Modele USP], Solutions:0, Buildingtime:3,022s, Fails:444750, Restarts:19, Variables:133973, Constraints:85472, Nodes:517882, Backtracks:958938, Resolutiontime:600,057s, Memory : 1107.09 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102808_realistic_utpSolver75.xml, Model[Modele USP], Solutions:0, Buildingtime:2,957s, Fails:217189, Restarts:17, Variables:120650, Constraints:77128, Nodes:274587, Backtracks:488551, Resolutiontime:600,043s, Memory : 1082.66 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102811_realistic_utpSolver79.xml, Model[Modele USP], Solutions:0, Buildingtime:2,995s, Fails:150416, Restarts:16, Variables:137369, Constraints:88823, Nodes:209387, Backtracks:356190, Resolutiontime:600,038s, Memory : 1104.65 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102836_realistic_utpSolver125.xml, Model[Modele USP], Solutions:0, Buildingtime:3,772s, Fails:228541, Restarts:17, Variables:131846, Constraints:77309, Nodes:303860, Backtracks:527809, Resolutiontime:600,048s, Memory : 1143.21 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver29.xml, Model[Modele USP], Solutions:0, Buildingtime:3,031s, Fails:126815, Restarts:15, Variables:116805, Constraints:64224, Nodes:190844, Backtracks:313601, Resolutiontime:600,039s, Memory : 1072.75 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102822_realistic_utpSolver94.xml, Model[Modele USP], Solutions:0, Buildingtime:4,197s, Fails:439303, Restarts:18, Variables:181850, Constraints:117230, Nodes:440364, Backtracks:879600, Resolutiontime:600,032s, Memory : 1255.24 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102758_realistic_utpSolver57.xml, Model[Modele USP], Solutions:0, Buildingtime:4,295s, Fails:683760, Restarts:20, Variables:174300, Constraints:101211, Nodes:685367, Backtracks:1369049, Resolutiontime:600,060s, Memory : 1278.55 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102555_realistic_utpSolver8.xml, Model[Modele USP], Solutions:0, Buildingtime:4,300s, Fails:223137, Restarts:17, Variables:204072, Constraints:123471, Nodes:333075, Backtracks:549973, Resolutiontime:600,048s, Memory : 1408.84 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103912_realistic_utpSolver382.xml, Model[Modele USP], Solutions:1, Buildingtime:1,606s, Fails:138, Restarts:1, Variables:32650, Constraints:18065, Nodes:2583, Backtracks:1390, Resolutiontime:7,108s, Memory : 762.66 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102752_realistic_utpSolver42.xml, Model[Modele USP], Solutions:0, Buildingtime:4,563s, Fails:519431, Restarts:19, Variables:226456, Constraints:136066, Nodes:521266, Backtracks:1040591, Resolutiontime:600,053s, Memory : 1466.00 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103913_realistic_utpSolver383.xml, Model[Modele USP], Solutions:1, Buildingtime:1,674s, Fails:13, Restarts:0, Variables:47980, Constraints:29804, Nodes:1572, Backtracks:13, Resolutiontime:5,213s, Memory : 758.94 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102959_realistic_utpSolver225.xml, Model[Modele USP], Solutions:0, Buildingtime:1,881s, Fails:473634, Restarts:19, Variables:56592, Constraints:32928, Nodes:511301, Backtracks:983023, Resolutiontime:600,045s, Memory : 836.79 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625105002_realistic_utpSolver675.xml, Model[Modele USP], Solutions:1, Buildingtime:1,432s, Fails:15, Restarts:0, Variables:28204, Constraints:15502, Nodes:1131, Backtracks:18, Resolutiontime:3,923s, Memory : 499.65 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103006_realistic_utpSolver228.xml, Model[Modele USP], Solutions:0, Buildingtime:2,027s, Fails:431731, Restarts:18, Variables:59830, Constraints:34872, Nodes:469461, Backtracks:899069, Resolutiontime:600,045s, Memory : 859.57 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103049_realistic_utpSolver256.xml, Model[Modele USP], Solutions:0, Buildingtime:2,445s, Fails:195458, Restarts:16, Variables:71455, Constraints:37293, Nodes:245458, Backtracks:437502, Resolutiontime:600,039s, Memory : 960.53 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104954_realistic_utpSolver671.xml, Model[Modele USP], Solutions:1, Buildingtime:1,615s, Fails:13, Restarts:0, Variables:29342, Constraints:16426, Nodes:1166, Backtracks:16, Resolutiontime:4,600s, Memory : 701.37 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102950_realistic_utpSolver216.xml, Model[Modele USP], Solutions:0, Buildingtime:2,865s, Fails:400199, Restarts:18, Variables:105852, Constraints:64617, Nodes:461555, Backtracks:858539, Resolutiontime:600,047s, Memory : 1002.16 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625105006_realistic_utpSolver676.xml, Model[Modele USP], Solutions:1, Buildingtime:2,126s, Fails:19, Restarts:0, Variables:54824, Constraints:27902, Nodes:2621, Backtracks:19, Resolutiontime:8,655s, Memory : 877.33 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625103134_realistic_utpSolver275.xml, Model[Modele USP], Solutions:0, Buildingtime:4,142s, Fails:113969, Restarts:15, Variables:160674, Constraints:89941, Nodes:196108, Backtracks:304850, Resolutiontime:600,043s, Memory : 1269.45 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625104001_realistic_utpSolver419.xml, Model[Modele USP], Solutions:1, Buildingtime:2,882s, Fails:9, Restarts:0, Variables:114204, Constraints:83040, Nodes:2176, Backtracks:9, Resolutiontime:10,605s, Memory : 996.14 MB
, ./tmp/experiment_02-06-25/instanceUSP_generated_020625102850_realistic_utpSolver139.xml, Model[Modele USP], Solutions:0, Buildingtime:4,461s, Fails:216334, Restarts:17, Variables:200119, Constraints:117743, Nodes:247036, Backtracks:457380, Resolutiontime:600,031s, Memory : 1381.21 MB
